mushroomName,edibility,commonName,preferredSearch,season,similarSpecies,description
Calvatia sculpta,unknown,SCULPTURED PUFFBALL ,,"summer, fall","Calvatia subcretacea, Calbovista subsculpta","Calvatia sculpta, commonly known as the sculpted puffball, the sculptured puffball, the pyramid puffball, and the Sierran puffball, is a species of puffball fungus in the family Agaricaceae. Attaining dimensions of up to 8 to 15 cm (3.1 to 5.9 in) tall by 8 to 10 cm (3.1 to 3.9 in) wide, the pear- or egg-shaped puffball is readily recognizable because of the large pyramidal or polygonal warts covering its surface. It is edible when young, before the spores inside the fruit body disintegrate into a brownish powder. The spores are roughly spherical, and have wart-like projections on their surfaces.
Originally described from the Sierra Nevada, C. sculpta is found in mountainous areas in western North America, and was found in a Brazilian dune in 2008. It may be easily confused with Calbovista subsculpta, a similar puffball that—in addition to differences observable only with a microscope—is larger, and has slightly raised warts with a felt-like texture. Other similar species include Calvatia arctica and immature specimens of Amanita magniverrucata."
Disciseda candida,unknown,SANDCASE PUFFBALL,,year long,"Disciseda subterranea, Disciseda muelleri",
Lycoperdon echinatum,yes,SPINY PUFFBALL ,,fall,Lycoperdon pulcherrimum,"Lycoperdon echinatum, commonly known as the spiny puffball or the spring puffball, is a type of puffball mushroom in the genus Lycoperdon. The saprobic species has been found in Africa, Europe, Central America, and North America, where it grows on soil in deciduous woods, glades, and pastures. It has been proposed that North American specimens be considered a separate species, Lycoperdon americanum, but this suggestion has not been followed by most authors. Molecular analysis indicates that L. echinatum is closely related to the puffball genus Handkea.
The fruit bodies of L. echinatum are 2–4 cm (0.8–1.6 in) wide by 2–3.5 cm (0.8–1.4 in) tall, supported by a small base, and densely covered with spines that are up to 0.6 cm (0.2 in) long. The spines can fall off in maturity, leaving a net-like pattern of scars on the underlying surface. Initially white in color, the puffballs turn a dark brown as they mature, at the same time changing from nearly round to somewhat flattened. Young specimens of L. echinatum resemble another edible spiny puffball, Lycoperdon pulcherrimum, but the latter species does not turn brown as it ages. The fruit bodies are edible when young, when the interior is white and firm and before it has turned into a powdery brown mass of spores. Laboratory tests have shown that extracts of the fruit bodies can inhibit the growth of several bacteria that are pathogenic to humans."
Lycoperdon marginatum,unknown*,NAKED PUFFBALL,,"summer, fall","Lycoperdon curtisii, Lycoperdon pulcherrimum","Lycoperdon marginatum, commonly known as the peeling puffball, is a type of puffball mushroom in the genus Lycoperdon. A common species, it is found in Europe and North America, where it grows on the ground. It is characterized by the way that the spiny outer layer peels off in sheets.

"
Lycoperdon molle,unknown*,SMOOTH PUFFBALL,,"summer, fall","Lycoperdon umbrinum, Lycoperdon muscorum, Lycoperdon foetidum, Lycoperdon flavotinctum","Lycoperdon molle, commonly known as the smooth puffball or the soft puffball, is a type of puffball mushroom in the genus Lycoperdon. It was first described scientifically in 1799 by Dutch mycologist Christiaan Hendrik Persoon. The puffball is edible when the internal flesh is still white."
Lycoperdon perlatum,yes,GEM PUFFBALL,,"summer, fall",Lycoperdon marginatum,"Lycoperdon perlatum, popularly known as the common puffball, warted puffball, gem-studded puffball, or the devil's snuff-box, is a species of puffball fungus in the family Agaricaceae. A widespread species with a cosmopolitan distribution, it is a medium-sized puffball with a round fruit body tapering to a wide stalk, and dimensions of 1.5 to 6 cm (0.6 to 2.4 in) wide by 3 to 10 cm (1.2 to 3.9 in) tall. It is off-white with a top covered in short spiny bumps or ""jewels"", which are easily rubbed off to leave a netlike pattern on the surface. When mature it becomes brown, and a hole in the top opens to release spores in a burst when the body is compressed by touch or falling raindrops.
The puffball grows in fields, gardens, and along roadsides, as well as in grassy clearings in woods. It is edible when young and the internal flesh is completely white, although care must be taken to avoid confusion with immature fruit bodies of poisonous Amanita species. L. perlatum can usually be distinguished from other similar puffballs by differences in surface texture. Several chemical compounds have been isolated and identified from the fruit bodies of L. perlatum, including sterol derivatives, volatile compounds that give the puffball its flavor and odor, and the unusual amino acid lycoperdic acid. Extracts of the puffball have antimicrobial and antifungal activities."
Lycoperdon pulcherrimum,unknown*,BEAUTIFUL PUFFBALL,,,Lycoperdon marginatum,Lycoperdon pulcherrimum is a type of puffball mushroom in the genus Lycoperdon. It was first described scientifically in 1873 by Miles Joseph Berkeley and Moses Ashley Curtis. The fungus is found in the southern United States.
Lycoperdon pusillum,unknown*,MINI PUFFBALL,,"spring, fall",Lycoperdon oblongisporum ,
Lycoperdon pyriforme,yes*,PEAR PUFFBALL ,,year long,,"Lycoperdon pyriforme, commonly known as the pear-shaped puffball or stump puffball, is a saprobic fungus present throughout much of the world. Emerging in autumn, this puffball is common and abundant on decaying logs of both deciduous and coniferous wood. It is considered a choice edible when still immature and the inner flesh is white."
Vascellum depressum,yes,PASTURE PUFFBALL ,,fall,,
Calbovista subsculpta,yes,SCULPTURED GIANT PUFFBALL,,"spring, summer, fall",,"Calbovista is a fungal genus containing the single species Calbovista subsculpta, commonly known as the sculptured puffball, sculptured giant puffball, and warted giant puffball. It is a common puffball of the Rocky Mountains and Pacific Coast ranges of western North America. The puffball is more or less round with a diameter of up to 15 cm (6 in), white becoming brownish in age, and covered with shallow pyramid-shaped plates or scales. It fruits singly or in groups along roads and in open woods at high elevations, from summer to autumn.
Although the puffball was originally described as new to science by Elizabeth Eaton Morse in 1935, it was not published validly until 60 years later. The species is named for its resemblance to Calvatia sculpta, from which it can be usually distinguished in the field by its less prominent pyramidal warts, and microscopically by the antler-like branches of its capillitium (thread-like material among the spores). Calbovista subsculpta is a good edible species while its interior flesh (the gleba) is still firm and white. As the puffball matures, its insides become dark brown and powdery from mature spores."
Mycenastrum corium,yes,GIANT PASTURE PUFFBALL,,"summer, fall",,"Mycenastrum is a fungal genus in the family Agaricaceae. The genus is monotypic, containing one widely distributed species, Mycenastrum corium, known by various common names: the giant pasture puffball, leathery puffball, or tough puffball. The roughly spherical to turnip-shaped puffball-like fruit bodies grow to a diameter of 6–24 cm (2–9 in). Initially covered by a thick, felted, whitish layer, the puffballs develop a characteristic checkered skin (peridium) in age. When the internal spore mass, the gleba, is firm and white, the puffball is edible, although some individuals may suffer mild gastrointestinal symptoms after eating it. As the spores mature, the gleba turns first yellowish then purplish brown. Spores are released when the peridium eventually splits open into irregularly shaped sections. Microscopically, the gleba consists of spherical, dark brown spores with rounded bumps on their surfaces, and a capillitium—intricately branched fibers that form long thorn-like spines. The puffball grows on or in the ground in prairie or desert habitats. Although widely distributed, it is not commonly encountered. Mycenastrum corium is a threatened species in Europe."
Astreus hygrometricus,no**,WATER-MEASURE EARTHSTAR,,"summer, fall",Geastrum corollinum,
Geastrum fimbriatum,no**,FRINGED EARTHSTAR,,fall,"Geastrum saccatum, Geastrum rufescens","Geastrum fimbriatum, commonly known as the fringed earthstar or the sessile earthstar, is an inedible species of mushroom belonging to the genus Geastrum, or earthstar fungi. First described in 1829, the species has a widespread distribution, and is found in Asia, Europe, and the Americas. It is distinguished from other earthstars by the delicate fibers that line the circular pore at the top of its spore sac."
Geastrum pectinatum,no,GROOVED EARTHSTAR ,,,"Geastrum schmideli, Geastrum berkeleyi","Geastrum pectinatum is an inedible species of mushroom belonging to the earthstar family of fungi. Although young specimens are spherical, fruit body development involves the outer layer of tissue splitting open like a star into 7 to 10 pointed rays that eventually bend back to point downward, revealing a small – 1 to 2.5 cm (0.4 to 1.0 in) broad – spore sac. The spore sac is supported by a small radially wrinkled stalk. There is a distinct conical opening (peristome) at the top of the spore sac that is up to 8 mm (0.3 in) long. It is commonly known as the beaked earthstar or the beret earthstar, in reference to the shape of the spore sac and its prominent, protruding peristome. The mass of spores and surrounding cells within the sac, the gleba, is dark-brown, and becomes powdery in mature specimens. Spores are spherical, measuring 4 to 6 micrometers in diameter, with warts on their surfaces. Although uncommon, Geastrum pectinatum has a cosmopolitan distribution, and has been collected in various locations in Europe, North and South America, Asia and Africa, where it grows on the ground in open woods. Like several other earthstars, crystals of calcium oxalate are found on G. pectinatum, and are thought to be involved in fruit body maturation."
